,Car_ID,Brand,Model,Year,Km,Doors,Seats,TransmissionNr,Fuel,Power,Cylinder Engine,Transmission,AC,Condition,Price
0,0,MINI,Cooper,2011,124600,3,5,5,Diesel,112cv,1600,Manual,ACManual,Usados,11900
1,1,Mercedes-Benz,A180Limousine,2015,60000,5,5,6,Diesel,109cv,1461,Manual,ACIndependente,Usados,16990
2,10,Renault,Mégane,2016,110000,5,5,5,Diesel,110cv,1461,Manual,ACAutomático,Usados,13990
3,100,BMW,X5,2016,39900,5,5,8,Diesel,313cv,1600,Manual,ACManual,Usados,64000
4,1000,Renault,ClioSportTourer,2015,111946,5,5,5,Diesel,90cv,1000,Manual,ACAutomático,Usados,10950
5,1001,Ford,Fiesta,2018,65520,5,5,6,Diesel,85cv,1598,Manual,ACAutomático,Usados,11480
6,1002,Opel,Corsa,2017,72249,5,5,5,Gasolina,70cv,1500,Manual,ACManual,Usados,8990
7,1003,VW,Golf,2015,105000,5,5,5,Diesel,90cv,1968,Automática,ACAutomático,Usados,11300
8,1004,Mercedes-Benz,A180,2018,27151,5,5,5,Diesel,108cv,492,Manual,ACManual,Usados,25890
9,1005,BMW,520,2017,42485,5,5,6,Diesel,190cv,400,Manual,ACAutomático,Usados,42990
10,1006,Audi,A3Cabrio,2018,18498,2,5,6,Gasolina,116cv,1496,Manual,ACAutomático,Usados,27999
11,1007,Mercedes-Benz,C200,2015,186000,5,5,6,Diesel,136cv,1600,Manual,ACManual,Usados,16500
12,1008,AlfaRomeo,159,2006,323800,5,5,5,Diesel,150cv,1461,Manual,ACIndependente,Usados,4900
13,1009,Renault,Clio,2010,185900,5,5,5,Diesel,85cv,1364,Manual,ACAutomático,Usados,5390
14,101,Citroën,C-Elysée,2013,53000,4,5,5,Diesel,92cv,1461,Manual,ACIndependente,Usados,8900
15,1010,Renault,Clio,2020,10,5,5,5,Gasolina,100cv,1686,Manual,ACIndependente,Usados,17300
16,1011,Renault,Clio,2020,10,5,5,5,Gasolina,100cv,1199,Manual,ACAutomático,Usados,17300
17,1012,Renault,Clio,2020,10,5,5,5,Gasolina,100cv,2143,Automática,ACAutomático,Usados,17300
18,1013,SEAT,Ibiza,2018,34980,5,5,6,Diesel,95cv,3000,Manual,ACAutomático,Usados,14250
19,1014,Renault,Captur,2016,54000,5,5,6,Diesel,90cv,1600,Manual,ACIndependente,Usados,13750
20,1015,Renault,Clio,2018,50139,5,5,9,Gasolina,75cv,1560,Manual,ACAutomático,Usados,9900
21,1016,Mercedes-Benz,C200,2011,182529,5,5,6,Diesel,136cv,1199,Manual,ACAutomático,Usados,14900
22,1017,LandRover,RangeRoverSport,2008,220000,5,8,5,Diesel,272cv,1461,Manual,ACAutomático,Usados,29500
23,1018,Mercedes-Benz,V220,2017,170000,5,5,5,Diesel,163cv,1000,Manual,ACAutomático,Usados,37500
24,1019,Ford,FocusSW,2020,7300,5,5,7,Gasolina,125cv,1598,Manual,ACAutomático,Usados,16900
25,102,BMW,X2,2019,1500,5,5,6,Diesel,116cv,1364,Manual,ACAutomático,Usados,40900
26,1020,Renault,MéganeBreak,2005,195850,5,5,7,Diesel,105cv,1500,Manual,ACManual,Usados,3590
27,1021,SEAT,Ibiza,2009,111000,5,5,6,Diesel,90cv,1968,Automática,ACAutomático,Usados,6990
28,1022,Nissan,Micra,2019,269,5,5,5,Gasolina,100cv,492,Manual,ACManual,Usados,14250
29,1023,Mercedes-Benz,E250,2014,202110,4,2,6,Diesel,204cv,400,Manual,ACAutomático,Usados,19750
30,1024,AlfaRomeo,Giulia,2016,50299,5,5,7,Diesel,150cv,505,Manual,ACManual,Usados,28490
31,1025,Nissan,Qashqai,2019,19854,3,5,6,Gasolina,160cv,523,Manual,ACManual,Usados,26950
32,1026,Toyota,Auris,2010,120000,5,5,6,Diesel,90cv,1598,Manual,ACManual,Usados,2750
33,1027,Renault,Clio,2020,9,5,5,8,Gasolina,100cv,1991,Automática,ACManual,Usados,18250
34,1028,Jaguar,XE,2018,60000,4,5,8,Diesel,180cv,1496,Manual,ACAutomático,Usados,35000
35,1029,Jaguar,XE,2018,20000,5,5,8,Diesel,180cv,1600,Manual,ACManual,Usados,34500
36,103,BMW,X4,2019,16900,5,5,6,Diesel,190cv,1686,Manual,ACIndependente,Usados,59950
37,1030,Jaguar,F-Pace,2018,36000,4,5,8,Diesel,180cv,1461,Manual,ACIndependente,Usados,52500
38,1031,Jaguar,XF,2018,79000,5,5,8,Diesel,163cv,1364,Manual,ACAutomático,Usados,34000
39,1032,BMW,116,2017,61300,3,4,6,Diesel,116cv,1686,Manual,ACIndependente,Usados,21490
40,1033,MINI,Cooper,2016,110000,5,5,5,Diesel,116cv,1199,Manual,ACAutomático,Usados,16250
41,1034,Citroën,C4Spacetourer,2018,24388,5,5,7,Diesel,130cv,2143,Automática,ACAutomático,Usados,20990
42,1035,BMW,428GranCoupé,2015,76000,5,5,6,Gasolina,245cv,3000,Manual,ACAutomático,Usados,39000
43,1036,Opel,AstraSportsTourer,2014,93376,4,4,6,Diesel,136cv,1600,Manual,ACIndependente,Usados,13490
44,1037,Audi,A3Limousine,2018,34696,4,5,6,Gasolina,116cv,1560,Manual,ACAutomático,Usados,19999
45,1038,BMW,525,2012,81410,5,5,6,Diesel,218cv,1199,Manual,ACAutomático,Usados,25700
46,1039,Lexus,RX400h,2005,380000,5,5,5,Híbrido(Gasolina),272cv,1461,Manual,ACAutomático,Usados,7990
47,104,Volvo,V40,2015,135546,5,5,6,Diesel,115cv,1199,Manual,ACAutomático,Usados,13990
48,1040,Renault,Trafic,2016,115645,5,5,6,Diesel,125cv,1000,Manual,ACAutomático,Usados,18999
49,1041,AlfaRomeo,Stelvio,2018,28775,5,5,6,Diesel,180cv,1598,Manual,ACAutomático,Usados,38490
50,1042,Renault,Mégane,2016,141000,5,5,6,Diesel,110cv,1500,Manual,ACManual,Usados,13990
51,1043,Audi,Q2,2018,29877,5,5,6,Gasolina,116cv,1968,Automática,ACAutomático,Usados,22999
52,1044,Ford,Focus,1999,230693,4,5,6,GPL,75cv,492,Manual,ACManual,Usados,2150
53,1045,Jaguar,F-Pace,2017,98000,5,5,8,Diesel,180cv,1496,Manual,ACAutomático,Usados,38900
54,1046,Peugeot,308SW,2019,47000,5,5,6,Diesel,102cv,1600,Manual,ACManual,Usados,16990
55,1047,Smart,ForTwo,2004,224720,2,4,8,Diesel,45cv,1461,Manual,ACIndependente,Usados,2900
56,1048,BMW,640,2014,119000,3,4,7,Diesel,313cv,1364,Manual,ACAutomático,Usados,46499
57,1049,BMW,118,2012,115000,5,5,6,Diesel,143cv,1686,Manual,ACIndependente,Usados,16500
58,105,MINI,Clubman,2018,21500,6,5,5,Diesel,116cv,2143,Automática,ACAutomático,Usados,24000
59,1050,Jeep,Renegade,2018,37600,5,5,6,Diesel,120cv,1199,Manual,ACAutomático,Usados,19900
60,1051,Nissan,Qashqai,2020,1,5,5,8,Gasolina,140cv,2143,Automática,ACAutomático,Usados,26499
61,1052,Mercedes-Benz,CLA200,2017,191000,5,5,7,Diesel,136cv,3000,Manual,ACAutomático,Usados,23900
62,1053,BMW,116,2017,126000,5,4,6,Diesel,116cv,1600,Manual,ACIndependente,Usados,15990
63,1054,Opel,Zafira,2019,27528,5,5,9,Diesel,134cv,1560,Manual,ACAutomático,Usados,23499
64,1055,BMW,118,2013,241000,5,5,8,Diesel,143cv,1199,Manual,ACAutomático,Usados,14250
65,1056,VW,PassatVariant,2008,226000,5,5,5,Diesel,170cv,1461,Manual,ACAutomático,Usados,9500
66,1057,SEAT,Arona,2019,22490,5,5,6,Gasolina,115cv,1000,Manual,ACAutomático,Usados,17999
67,1058,BMW,X5,2008,140000,3,5,6,Diesel,285cv,1598,Manual,ACAutomático,Usados,21000
68,1059,Opel,Astra,2019,18644,5,4,5,Gasolina,105cv,1500,Manual,ACManual,Usados,15899
69,106,Toyota,Avensis,2015,124000,4,5,6,Diesel,124cv,3000,Manual,ACAutomático,Usados,15900
70,1060,Fiat,500,2020,1,2,5,6,Gasolina,69cv,1968,Automática,ACAutomático,Usados,15699
71,1061,Renault,GrandEspace,2007,197000,5,5,9,Diesel,175cv,492,Manual,ACManual,Usados,7950
72,1062,Audi,A5,2017,13000,5,5,5,Gasolina,252cv,400,Manual,ACAutomático,Usados,38500
73,1063,VW,CC,2015,141000,5,5,9,Diesel,140cv,505,Manual,ACManual,Usados,19500
74,1064,Peugeot,5008,2017,145321,5,5,6,Diesel,120cv,1496,Manual,ACAutomático,Usados,21950
75,1065,Renault,MéganeSportTourer,2017,144366,5,5,6,Diesel,110cv,1600,Manual,ACManual,Usados,14300
76,1066,VW,Up!,2017,35305,5,4,6,Gasolina,60cv,1461,Manual,ACIndependente,Usados,8699
77,1067,BMW,635,2007,215000,3,1,6,Diesel,355cv,1364,Manual,ACAutomático,Usados,29900
78,1068,BMW,116,2014,188611,5,5,6,Diesel,116cv,1686,Manual,ACIndependente,Usados,13250
79,1069,Nissan,Qashqai,2016,153513,5,5,5,Diesel,110cv,1199,Manual,ACAutomático,Usados,15900
80,107,MINI,Countryman,2019,15000,5,4,6,Diesel,116cv,1600,Manual,ACIndependente,Usados,27900
81,1070,Citroën,C4,2015,137508,5,5,5,Diesel,100cv,2143,Automática,ACAutomático,Usados,11500
82,1071,Citroën,C3,2020,480,5,5,6,Gasolina,83cv,3000,Manual,ACAutomático,Usados,14490
83,1072,Peugeot,2008,2017,51000,5,4,5,Gasolina,110cv,1600,Manual,ACIndependente,Usados,14990
84,1073,MINI,Cabrio,2018,39000,3,4,5,Gasolina,102cv,1560,Manual,ACAutomático,Usados,18990
85,1074,Abarth,595,2015,93000,3,5,5,Gasolina,160cv,1199,Manual,ACAutomático,Usados,16500
86,1075,SEAT,Arona,2019,4000,5,5,6,Gasolina,95cv,1461,Manual,ACAutomático,Usados,15990
87,1076,BMW,X5,2018,15000,5,5,5,Híbrido(Gasolina),313cv,1000,Manual,ACAutomático,Usados,62480
88,1077,Audi,A5Sportback,2019,6000,5,5,8,Diesel,190cv,1598,Manual,ACAutomático,Usados,45480
89,1078,Peugeot,2008,2017,74000,5,4,6,Diesel,100cv,1500,Manual,ACManual,Usados,15980
90,1079,Renault,Twingo,2019,17000,5,7,8,Gasolina,71cv,1968,Automática,ACAutomático,Usados,10250
